categorie,naam,omschrijving,prijs
Dames,Wassen knippen model föhnen langhaar,,€ 38
Dames,Pony knippen,,€ 8
Dames,Wassen knippen model föhnen,,€ 33
Dames,Wassen knippen drogen,,€ 29
Dames,Wassen model föhnen,,€ 25
Dames,Wassen drogen,,€ 9
Dames,Deelpermanent incl. knippen/föhnen,,€ 79
Dames,Permanent korthaar incl. knippen/föhnen,,€ 97
Dames,Toeslag masker,,€ 6
Dames,Toeslag hoofdhuidmassage,,€ 11
Dames,Donatie knippen,,€ 19
Heren,Wassen knippen drogen,,€ 26
Heren,Tondeuse,,€ 19
Heren,Knippen t/m 10 jaar,,€ 19
Heren,Knippen 11 t/m 15 jaar,,€ 22
Heren,Massage 15 min,,€ 15
Kleuren,Uitgroei behandeling,,€ 35
Kleuren,Ontkleuren kort haar,,€ 35
Kleuren,Ontkleuren halflang haar,,€ 40
Kleuren,Ontkleuren lang haar,,€ 47
Kleuren,Totale kleuring kort haar,,€ 45
Kleuren,Totale kleuring lang haar,,€ 59
Kleuren,Spoeling kort haar,,€ 28
Kleuren,Spoeling lang haar,,€ 39
Kleuren,Toner kort haar,,€ 20
Kleuren,Toner halflang haar,,€ 25
Kleuren,Toner lang haar,,€ 30
Kleuren,Highlights totaal kort haar,,€ 33
Kleuren,Highlights totaal halflang haar,,€ 57
Kleuren,Highlights totaal lang haar,,€ 85
Kleuren,Highlights scalp kort haar,,€ 29
Kleuren,Highlights scalp halflang haar,,€ 47
Kleuren,Highlights scalp lang haar,,€ 60
Kleuren,Toeslag extra product/meerdere kleuren,,€ 10
